"","X","note_num","file_name","max_freq","min_freq","mean_freq","median_freq","sd_freq","abs_max_slope","duration"
"98",98,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.21.wav",3.421875,3.375,3.38308189655172,3.375,0.0177576494506553,0.046875,0.20618065342729
"99",99,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.24.wav",7.265625,4.640625,6.51687834224599,6.984375,0.902463147409159,2.203125,0.220128179112554
"100",100,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.24.wav",3.84375,3.75,3.79728982300885,3.796875,0.0361721012256635,0.046875,0.262006222943723
"101",101,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.24.wav",4.921875,4.6875,4.84801136363636,4.875,0.063140362948265,0.09375,0.0558373917748918
"102",102,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.24.wav",3.375,3.28125,3.33819018404908,3.328125,0.0284044428248142,0.046875,0.19435707521645
"103",103,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.26.wav",8.0625,4.828125,6.78132512019231,7.078125,0.915283120906339,1.875,0.242663594470046
"104",104,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.26.wav",3.796875,3.75,3.76734581497797,3.75,0.0226820234094738,0.046875,0.263064516129032
"105",105,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.26.wav",4.96875,4.734375,4.87400265957447,4.921875,0.0994317806384109,0.140625,0.0708663594470046
"106",106,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.26.wav",3.421875,3.1875,3.37095494923858,3.375,0.05947516216702,0.046875,0.230852534562212
"107",107,1,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.29.wav",7.875,4.734375,6.81235665137615,7.078125,0.83817655772163,2.109375,0.253415854978355
"108",108,2,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.29.wav",3.890625,3.65625,3.79908798283262,3.796875,0.0564517434427303,0.046875,0.26952279491342
"109",109,3,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.29.wav",4.921875,4.734375,4.83909574468085,4.828125,0.0649906986068903,0.046875,0.0708705357142857
"110",110,4,"Poecile.sp_Gm.GO_Apr032022_SparrowfootPUA.HenryCO.MO_SMP_a_3.29.wav",3.375,3.28125,3.33697916666667,3.328125,0.0327877583628965,0.046875,0.212611607142857
