,X,file_names,include,threshold,trim_s,trim_f
94,94,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.29.wav,Y,10,NA,NA
95,95,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.32.wav,Y,10,NA,NA
96,96,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav,Y,10,NA,NA
97,97,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.08.wav,Y,8,NA,NA
98,98,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.12.wav,Y,10,NA,NA
99,99,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.15.wav,Y,9,NA,NA
100,100,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.19.wav,Y,10,NA,NA
101,101,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.26.wav,Y,10,NA,NA
102,102,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.30.wav,Y,15,NA,NA
103,103,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.33.wav,Y,10,NA,NA
104,104,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.36.wav,Y,12,NA,NA
105,105,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.39.wav,N,10,NA,NA
106,106,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.41.wav,N,10,NA,NA
107,107,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.45.wav,N,10,NA,NA
108,108,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.48.wav,Y,15,NA,NA
109,109,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.56.wav,Y,10,NA,NA
110,110,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.58.wav,N,10,NA,NA
111,111,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav,Y,10,NA,NA
112,112,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.08.wav,Y,15,NA,NA
113,113,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.14.wav,Y,10,NA,NA
114,114,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.17.wav,Y,10,NA,NA
115,115,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav,Y,10,NA,NA
116,116,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.24.wav,Y,10,NA,NA
117,117,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.28.wav,Y,10,NA,NA
118,118,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.32.wav,Y,10,NA,NA
119,119,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.34.wav,Y,9,NA,NA
120,120,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.37.wav,Y,8,NA,NA
