,file_names,include,threshold,trim_s,trim_f
84,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.25.wav,Y,10,,
85,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.31.wav,Y,9,,
86,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.36.wav,Y,10,,
87,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.41.wav,Y,10,,
88,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.47.wav,Y,10,,
89,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.51.wav,Y,10,,
90,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_5.56.wav,Y,10,,
91,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.00.wav,Y,8,,
92,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.13.wav,Y,10,,
93,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.21.wav,Y,10,,
94,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.29.wav,Y,10,,
95,Poecile.sp_Gm.GO_Apr112022_SparrowfootPUA.HenryCO.MO_SMP_b_6.32.wav,Y,10,,
96,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav,Y,10,,
97,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.08.wav,Y,8,,
98,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.12.wav,Y,10,,
99,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.15.wav,Y,9,,
100,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.19.wav,Y,10,,
101,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.26.wav,Y,10,,
102,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.30.wav,Y,15,,
103,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.33.wav,Y,10,,
104,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.36.wav,Y,12,,
105,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.39.wav,N,10,,
106,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.41.wav,N,10,,
107,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.45.wav,N,10,,
108,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.48.wav,Y,15,,
109,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.56.wav,Y,10,,
110,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_0.58.wav,N,10,,
111,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.01.wav,Y,10,,
112,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.08.wav,Y,15,,
113,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.14.wav,Y,10,,
114,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.17.wav,Y,10,,
115,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.21.wav,Y,10,,
116,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.24.wav,Y,10,,
117,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.28.wav,Y,10,,
118,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.32.wav,Y,10,,
119,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.34.wav,Y,9,,
120,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.37.wav,Y,8,,
121,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.41.wav,Y,10,,
122,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.44.wav,Y,10,,
123,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.48.wav,Y,10,,
124,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.52.wav,Y,10,,
125,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.56.wav,Y,10,,
126,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_1.59.wav,Y,9,,
127,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.05.wav,Y,10,,
128,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.09.wav,Y,9,,
129,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.14.wav,Y,10,,
130,Poecile.sp_Gm.GO_Mar252023_SparrowfootPUA.HenryCO.MO_SMP_a_2.22.wav,N,10,,
131,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.06.wav,Y,10,,
132,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.21.wav,Y,10,,
133,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.25.wav,Y,10,,
134,Poecile.sp_Gm.RB_Feb202023_SparrowfootPUA.HenryCO.MO_CS_a_0.40.wav,Y,10,,
135,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.13.wav,Y,10,,
136,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.27.wav,Y,10,,
137,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.32.wav,Y,10,,
138,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav,Y,10,,
139,Poecile.sp_Gm.RB_Feb212023_SparrowfootPUA.HenryCO.MO_SMP_a_0.39.wav,Y,10,,
140,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.03.wav,Y,9,,
141,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.10.wav,Y,9,,
142,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.17.wav,Y,8,,
143,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.26.wav,Y,10,,
144,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.40.wav,Y,10,,
145,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.48.wav,Y,8,,
146,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_0.56.wav,Y,10,,
147,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_1.02.wav,Y,10,,
148,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_a_NF_1.07.wav,Y,10,,
149,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.25.wav,Y,10,,
150,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.31.wav,Y,10,,
151,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.36.wav,Y,10,,
152,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.41.wav,Y,10,,
153,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.46.wav,N,10,,
154,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_2.54.wav,Y,10,,
155,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.00.wav,Y,10,,
156,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.06.wav,Y,9,,
157,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.11.wav,Y,10,,
158,Poecile.sp_Gm.RB_Jun092022_SparrowfootPUA.HenryCO.MO_SMP_b_NF_3.23.wav,Y,10,,
159,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav,Y,10,,
160,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.13.wav,Y,9,,
161,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.16.wav,Y,10,,
162,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.23.wav,Y,10,,
163,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.32.wav,Y,10,,
164,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.35.wav,Y,10,,
165,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.38.wav,Y,10,,
166,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_a_0.41.wav,Y,10,,
167,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.00.wav,Y,10,,
168,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.04.wav,Y,10,,
169,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.18.wav,Y,10,,
170,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_b_0.26.wav,Y,10,,
171,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_0.32.wav,Y,9,,
172,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_0.50.wav,Y,10,,
173,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_0.55.wav,Y,10,,
174,Poecile.sp_Gm.RB_Mar042023_SparrowfootPUA.HenryCO.MO_SMP_c_1.03.wav,Y,10,,
175,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.04.wav,Y,10,,
176,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.10.wav,Y,10,,
177,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.16.wav,Y,10,,
178,Poecile.sp_Gm.RB_Mar052023_SparrowfootPUA.HenryCO.MO_SMP_a_0.21.wav,N,10,,
